要素 , 単位 ,1月 , 2月 , 3月 , 4月   , 5月   , 6月   , 7月   , 8月   , 9月   , 10月   , 11月   , 12月  , 年 
海面気圧 , hPa  ,1016.1,1018.7,1018.4,1013.7,1013.8,1009.6,1010.2,1004.9,1013.4,1017.1,1018.3,1018,1014.4
気温／平均気温 , ℃,8.1,8.7,11.2,15.9,19.1,21.3,24.4,26.3,24.2,19.8,13.8,11.1,17
気温／最高／平均, ℃  ,11.9,12.3,14.8,19.4,23.1,24.8,28.1,30.1,27.2,22.8,17.1,15.3,20.6
気温／最高／極値, ℃  ,17.7,18.2,19.4,23.4,27.6,30.3,32.1,32.7,30.9,28.3,22.3,20.7,32.7
気温／最高／その起日, ℃  ,4,14,8,23,24,18,18,9,5, 6*  ,15,23, 8/9  
気温／最低／その起日, ℃  ,4.2,5.1,8,12.7,15.5,18.4,21.7,23.5,21.9,17.4,10.9,7,13.9
気温／最低／極値, ℃  ,-3.3,0.4,3.3,7.6,13,13.7,19.6,21.4,18.6,11,3.4,1.1,-3.3
気温／最低／その起日, ℃  ,25,26,1,12,16,5,23,28,20,30,24,17, 1/25  
湿度／平均湿度, ％  ,64,66,71,77,77,83,86,84,89,80,76,69,77
湿度／最小／極値, ％  ,19,30,30,28,31,28,55,51,57,43,38,25,19
湿度／最小／その起日, ％  ,25,10,31,6, 23*  ,2,30,9,1,27,4,28, 1/25  
風／平均風速 , m/s  ,5.3,5.3,5.2,4.8,4.9,3.7,3.7,4.2,4.2,4.5,4.7,4.8,4.6
風／最大風速, m/s  ,15.9,14.6,13.9,16.9,14.9,12.7,10.9,16.6,11.5,13.2,11.7,16.3,16.9
風／風向, m/s  ,WSW, SSW  , ESE  , SSW  , S  , SSW  , E  , SW  , SW  , SE  , NNE  , SSW  , SSW  
風／その起日, m/s  ,19,14,7,17,4,25,22,30,7,17,24,23, 4/17  
日照／日照時間 , hr  ,164.6,159.1,165,125.4,214.5,121.9,185.1,179.3,97.5,110.6,121.7,159.3,1804
日照／日照率 , ％  ,53,50,45,32,50,28,42,43,26,32,39,52,41
降水／降水総量 , mm  ,142,136,216,260.5,215,273,108,500,350.5,203,235.5,126.5,2766
降水／最大日量降とその起日 , mm  ,65.5,90.5,60.5,79,58.5,67,77.5,290.5,79,71,89.5,64.5,290.5
降水／最大日量降とその起日 , mm  ,29,20,14,21,30,28,9,22,20,17,24,14, 8/22  
降水／日数≧  ０．０ ,,8,16,17,19,14,21,13,19,21,25,17,11,201
降水／日数≧  ０．５ , ,5,8,12,14,9,18,8,16,14,11,14,9,138
降水／日数≧  １．０ , ,5,8,8,14,8,17,6,14,14,10,13,8,125
降水／日数≧１０．０  , ,4,3,6,9,7,6,1,6,11,5,6,4,68
降水／日数≧３０．０  , ,2,1,3,2,2,4,1,4,3,3,2,1,28
天気日数／雨（≧ 0.5mm） ,,5,8,12,14,9,18,8,16,14,11,14,9,138
天気日数／雪 , ,0,6, 1)  ,0,0,0, 0)  , 0)  , 0)  ,0,0, 1)  ,7
天気日数／霧 , ,0,0, 0)  ,0,0,4, 6)  , 0)  , 0)  ,0,0, 0)  ,10
天気日数／不照 , ,3,3,3,5,5,5,4,2,8,7,6,1,52
天気日数／日最大風速≧10m/s , ,11,11,11,7,9,3,2,5,3,5,3,11,81
